Date,ENGI FP Equity,CS FP Equity
2022-02-09,14.308,28.75
2022-02-08,14.282,28.575
2022-02-07,14.108,27.95
2022-02-04,14.104,27.47
2022-02-03,14.06,28.255
2022-02-02,13.858,28.51
2022-02-01,13.72,28.255
2022-01-31,13.554,27.955
2022-01-28,13.558,27.93
2022-01-27,13.672,28.14
2022-01-26,13.374,27.83
2022-01-25,13.13,27.145
2022-01-24,13.172,26.765
2022-01-21,13.546,27.515
2022-01-20,13.732,27.83
2022-01-19,13.504,28.005
2022-01-18,13.754,28.60
2022-01-17,13.85,28.54
2022-01-14,13.886,28.29
2022-01-13,13.886,28.215
2022-01-12,13.756,27.92
2022-01-11,13.538,27.845
2022-01-10,13.334,27.405
2022-01-07,13.25,27.47
2022-01-06,13.20,27.315
2022-01-05,13.28,27.05
2022-01-04,13.34,27.005
2022-01-03,13.19,26.50
2021-12-31,13.014,26.185
2021-12-30,13.072,26.285
2021-12-29,13.148,26.255
2021-12-28,13.124,26.31
2021-12-27,12.92,26.12
2021-12-24,12.868,25.895
2021-12-23,12.886,25.885
2021-12-22,12.862,25.535
2021-12-21,12.952,25.41
2021-12-20,12.758,24.88
2021-12-17,12.958,25.38
2021-12-16,13.00,25.755
2021-12-15,12.96,25.435
2021-12-14,12.878,25.435
2021-12-13,12.908,25.32
2021-12-10,13.066,25.37
2021-12-09,13.166,25.53
2021-12-08,13.134,25.545
2021-12-07,13.192,25.62
2021-12-06,13.11,25.465
2021-12-03,12.976,25.005
2021-12-02,12.84,25.105
2021-12-01,13.00,25.235
2021-11-30,12.81,24.35
2021-11-29,12.894,24.235
2021-11-26,12.796,24.225
2021-11-25,13.228,25.47
2021-11-24,13.064,25.54
2021-11-23,13.07,25.495
2021-11-22,13.04,25.395
2021-11-19,13.112,25.165
2021-11-18,13.35,25.43
2021-11-17,13.462,25.565
2021-11-16,13.478,25.555
2021-11-15,13.376,25.86
2021-11-12,13.16,25.78
2021-11-11,13.154,25.755
2021-11-10,12.86,25.67
2021-11-09,12.718,25.355
2021-11-08,12.738,25.59
2021-11-05,12.71,25.50
2021-11-04,12.66,25.55
2021-11-03,12.46,25.645
2021-11-02,12.49,25.585
2021-11-01,12.402,25.305
2021-10-29,12.296,25.16
2021-10-28,12.394,24.415
2021-10-27,12.33,24.41
2021-10-26,12.192,24.45
2021-10-25,12.086,23.93
2021-10-22,12.162,23.945
2021-10-21,12.098,23.735
2021-10-20,12.002,23.995
2021-10-19,11.818,23.935
2021-10-18,11.60,23.905
2021-10-15,11.654,23.925
2021-10-14,11.544,23.70
2021-10-13,11.628,23.505
2021-10-12,11.552,24.035
2021-10-11,11.57,24.225
2021-10-08,11.598,24.19
2021-10-07,11.704,24.21
2021-10-06,11.656,23.75
2021-10-05,11.852,24.28
2021-10-04,11.698,23.82
2021-10-01,11.624,23.875
2021-09-30,11.342,24.085
2021-09-29,11.618,23.94
2021-09-28,11.69,23.595
2021-09-27,11.824,23.88
2021-09-24,11.70,23.505
2021-09-23,11.758,23.38
